Year;Month;departement;prix_m2_vente;date
2023;5;27;2191.6827047146403;2023-05-01
2023;5;28;2371.6841414790997;2023-05-01
2023;5;29;2849.242258064516;2023-05-01
2023;5;30;2932.1692411745303;2023-05-01
2023;5;31;3304.5923771152297;2023-05-01
2023;5;32;1830.1207251908397;2023-05-01
2023;5;33;3993.1388795841754;2023-05-01
2023;5;34;3697.17892051756;2023-05-01
2023;5;35;3482.927522783761;2023-05-01
2023;5;36;1309.9953777777778;2023-05-01
2023;5;37;2721.2486193293885;2023-05-01
2023;5;38;3137.031792138574;2023-05-01
2023;5;39;1725.0474444444444;2023-05-01
2023;5;40;3732.845702402957;2023-05-01
2023;5;41;1853.2703258655804;2023-05-01
2023;5;42;1907.713685064935;2023-05-01
2023;5;43;1739.7436363636364;2023-05-01
2023;5;44;3774.231138245033;2023-05-01
2023;5;45;2087.301823630137;2023-05-01
2023;5;46;1750.6145365853658;2023-05-01
2023;5;47;1734.8802222222223;2023-05-01
2023;5;48;1496.1403846153846;2023-05-01
2023;5;49;2649.5640625;2023-05-01
2023;5;50;2234.7491730769234;2023-05-01
2023;5;51;2397.4895824634655;2023-05-01
2023;5;52;1112.8072;2023-05-01
2023;5;53;1755.1603623188407;2023-05-01
2023;5;54;2279.4421467391303;2023-05-01
2023;5;55;1217.5462886597938;2023-05-01
2023;5;56;3355.1611305147057;2023-05-01
2023;5;57;2370.8495570216774;2023-05-01
2023;5;58;1158.568700361011;2023-05-01
2023;5;59;2509.880285996055;2023-05-01
2023;5;60;2610.822777167947;2023-05-01
2023;5;61;1620.6277430555556;2023-05-01
2023;5;62;2436.5619095022626;2023-05-01
2023;5;63;2124.8661911764707;2023-05-01
2023;5;64;4865.45587674248;2023-05-01
2023;5;65;1903.6870588235297;2023-05-01
2023;5;66;2902.7504172366625;2023-05-01
2023;5;67;3498.473675799087;2023-05-01
2023;5;68;2924.363095823096;2023-05-01
2023;5;69;4546.017714689266;2023-05-01
2023;5;70;1526.4639097744362;2023-05-01
2023;5;71;1757.8702191235059;2023-05-01
2023;5;72;1771.9705733333333;2023-05-01
2023;5;73;4150.478436363636;2023-05-01
2023;5;74;5226.134354501047;2023-05-01
2023;5;75;10979.52918389166;2023-05-01
2023;5;76;2468.476288047513;2023-05-01
2023;5;77;3277.6209294871796;2023-05-01
2023;5;78;4670.681127373418;2023-05-01
2023;5;79;1577.8969117647057;2023-05-01
2023;5;80;2036.6570663811563;2023-05-01
2023;5;81;2095.353964577657;2023-05-01
2023;5;82;2020.4520588235296;2023-05-01
2023;5;83;4800.856786382342;2023-05-01
2023;5;84;3123.569138110073;2023-05-01
2023;5;85;2963.509042645779;2023-05-01
2023;5;86;1744.7636233766234;2023-05-01
2023;5;87;1662.2697051597052;2023-05-01
2023;5;88;1513.2394680851064;2023-05-01
2023;5;89;1736.9978088962107;2023-05-01
2023;5;90;1819.5802054794522;2023-05-01
2023;5;91;3517.6081420528367;2023-05-01
2023;5;92;7609.150485436893;2023-05-01
2023;5;93;4829.75233441911;2023-05-01
2023;5;94;5590.932093235831;2023-05-01
2023;5;95;3937.526474601971;2023-05-01
2023;5;97;3409.741991247265;2023-05-01
2023;5;na;3604.7137566137567;2023-05-01
2023;6;01;3427.0460324232085;2023-06-01
2023;6;02;1593.8454126984127;2023-06-01
2023;6;03;1580.3613181818182;2023-06-01
2023;6;04;2743.164350453172;2023-06-01
2023;6;05;3339.83404;2023-06-01
2023;6;06;6532.324900949797;2023-06-01
2023;6;07;2332.5204;2023-06-01
2023;6;08;1489.204382022472;2023-06-01
2023;6;09;1585.2221824104236;2023-06-01
2023;6;10;1746.3447837837837;2023-06-01
2023;6;11;2234.2380220588234;2023-06-01
2023;6;12;1756.2454203539824;2023-06-01
2023;6;13;4705.013104179285;2023-06-01
2023;6;14;3533.798948339483;2023-06-01
2023;6;15;1396.5165853658536;2023-06-01
2023;6;16;1649.99162464986;2023-06-01
2023;6;17;3663.595669599218;2023-06-01
2023;6;18;1328.8862292051756;2023-06-01
2023;6;19;1682.0660706860708;2023-06-01
2023;6;20;4928.676923076923;2023-06-01
2023;6;21;2622.0129862475446;2023-06-01
2023;6;22;2644.9157030371202;2023-06-01
2023;6;23;1030.4173544973546;2023-06-01
2023;6;24;1860.3468797953965;2023-06-01
2023;6;25;2231.5887708333335;2023-06-01
2023;6;26;2561.9857330154946;2023-06-01
2023;6;27;2240.226376923077;2023-06-01
2023;6;28;2271.96983983984;2023-06-01
2023;6;29;2799.806186440678;2023-06-01
2023;6;30;3012.2942572062084;2023-06-01
2023;6;31;3324.8732495101244;2023-06-01
2023;6;32;1863.7243243243242;2023-06-01
2023;6;33;4019.2008600682598;2023-06-01
2023;6;34;3887.9819518716577;2023-06-01
2023;6;35;3686.183204577969;2023-06-01
2023;6;36;1225.9443425076452;2023-06-01
2023;6;37;2776.9701594746716;2023-06-01
2023;6;38;3278.0961911421914;2023-06-01
2023;6;39;2042.5372727272727;2023-06-01
2023;6;40;3802.8403198294245;2023-06-01
2023;6;41;1866.2400729927006;2023-06-01
2023;6;42;1797.6241343424788;2023-06-01
2023;6;43;1541.6061428571427;2023-06-01
2023;6;44;3811.6346391427674;2023-06-01
2023;6;45;2281.2047758761205;2023-06-01
2023;6;46;1857.8974375000003;2023-06-01
2023;6;47;1668.3876369327072;2023-06-01
2023;6;48;1630.915;2023-06-01
2023;6;49;2720.7406151537884;2023-06-01
2023;6;50;2462.51351552795;2023-06-01
2023;6;51;2394.170949464012;2023-06-01
2023;6;52;1295.8081097560976;2023-06-01
2023;6;53;1752.838120300752;2023-06-01
2023;6;54;2270.2742539267015;2023-06-01
2023;6;55;1174.595;2023-06-01
2023;6;56;3612.885877308707;2023-06-01
2023;6;57;2463.310331838565;2023-06-01
2023;6;58;1190.1872916666666;2023-06-01
2023;6;59;2724.1010101832994;2023-06-01
2023;6;60;2772.1366810035843;2023-06-01
2023;6;61;1569.1493567251462;2023-06-01
2023;6;62;2735.85078125;2023-06-01
2023;6;63;2230.5655585831064;2023-06-01
2023;6;64;4683.562184655397;2023-06-01
2023;6;65;1944.3174285714285;2023-06-01
2023;6;66;2963.18835600907;2023-06-01
2023;6;67;3528.3743609671847;2023-06-01
2023;6;68;2683.197618048269;2023-06-01
2023;6;69;4576.422037519542;2023-06-01
2023;6;70;1252.7844217687075;2023-06-01
2023;6;71;1742.8848439821693;2023-06-01
2023;6;72;1838.876977886978;2023-06-01
2023;6;73;4094.9130919220056;2023-06-01
2023;6;74;5320.631798182688;2023-06-01
2023;6;75;11046.93788882804;2023-06-01
2023;6;76;2631.4749904640817;2023-06-01
2023;6;77;3394.042973067506;2023-06-01
2023;6;78;4715.0113451043335;2023-06-01
2023;6;79;1531.3953586497892;2023-06-01
2023;6;80;2262.8366061452516;2023-06-01
2023;6;81;2027.4081644815255;2023-06-01
2023;6;82;1990.59392920354;2023-06-01
2023;6;83;4878.779665924276;2023-06-01
2023;6;84;3111.9486625672557;2023-06-01
2023;6;85;3040.1095969289827;2023-06-01
2023;6;86;1848.9886038394416;2023-06-01
2023;6;87;1700.100567823344;2023-06-01
2023;6;88;1544.145242165242;2023-06-01
2023;6;89;1701.2021270718233;2023-06-01
2023;6;90;1673.9171323529413;2023-06-01
2023;6;91;3672.748802889577;2023-06-01
2023;6;92;7815.794383988495;2023-06-01
2023;6;93;4775.444538826103;2023-06-01
2023;6;94;5836.374515235458;2023-06-01
2023;6;95;4008.7888157894736;2023-06-01
2023;6;97;3446.828907216495;2023-06-01
2023;6;na;3631.555111662531;2023-06-01
2023;7;01;3453.922776898734;2023-07-01
2023;7;02;1636.4089083820663;2023-07-01
2023;7;03;1429.5887573964496;2023-07-01
2023;7;04;2549.70212;2023-07-01
2023;7;05;3435.1955339805827;2023-07-01
2023;7;06;6283.92757020757;2023-07-01
2023;7;07;2349.7411306532663;2023-07-01
2023;7;08;1499.9616666666668;2023-07-01
2023;7;09;1672.0443377483443;2023-07-01
2023;7;10;1750.6048129675812;2023-07-01
2023;7;11;2329.1510792192885;2023-07-01
2023;7;12;1705.7112230215826;2023-07-01
